City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Sagaing,MM,2022-03-09 23:56:45,21.8787,95.9797,66.38,72,40,0.0
231,Ornskoldsvik,SE,2022-03-09 23:56:45,63.2909,18.7153,31.82,100,100,12.66
232,Shelburne,CA,2022-03-09 23:56:46,44.0787,-80.2041,33.67,69,41,9.28
233,Alice Springs,AU,2022-03-09 23:56:46,-23.7,133.8833,69.35,43,8,5.75
234,Novikovo,RU,2022-03-09 23:56:47,51.1537,37.8879,13.19,92,100,13.82
235,Rocha,UY,2022-03-09 23:53:40,-34.4833,-54.3333,67.01,83,100,4.85
236,Rudnyy,KZ,2022-03-09 23:54:31,52.9594,63.1206,5.23,96,100,7.45
237,Valdosta,US,2022-03-09 23:56:48,30.8327,-83.2785,67.14,95,100,6.91
238,Okhotsk,RU,2022-03-09 23:56:48,59.3833,143.3,25.47,93,100,11.36
239,Melita,CA,2022-03-09 23:56:48,49.2681,-100.9967,3.96,85,100,12.53
240,Atar,MR,2022-03-09 23:56:49,20.5169,-13.0499,71.51,12,2,9.86
241,Buenos Aires,AR,2022-03-09 23:52:05,-34.6132,-58.3772,67.95,83,75,2.3
242,Inuvik,CA,2022-03-09 23:56:49,68.3499,-133.7218,-2.16,77,75,5.75
243,Guiren,CN,2022-03-09 23:56:50,33.6697,118.1889,52.3,77,39,8.1
244,Kungtad,PH,2022-03-09 23:56:50,5.5572,120.8472,79.12,80,92,6.33
245,Valdivia,CL,2022-03-09 23:56:51,-39.8142,-73.2459,60.89,75,58,1.61
246,Henties Bay,NA,2022-03-09 23:56:51,-22.116,14.2845,63.86,91,63,6.6
247,Tyubuk,RU,2022-03-09 23:56:51,56.0552,60.9405,5.59,96,100,5.93
248,Ostrovnoy,RU,2022-03-09 23:56:52,68.0531,39.5131,19.18,83,100,11.23
249,Kotido,UG,2022-03-09 23:56:53,2.9806,34.1331,75.47,39,51,7.65
250,Diu,IN,2022-03-09 23:56:53,20.7141,70.9822,77.72,41,1,8.21
251,Poum,NC,2022-03-09 23:56:53,-20.2333,164.0167,82.35,69,3,9.15
252,Acari,PE,2022-03-09 23:56:54,-15.4311,-74.6158,75.22,77,57,5.12
253,Egvekinot,RU,2022-03-09 23:56:54,66.3167,-179.1667,19.4,70,0,10.47
254,Merrill,US,2022-03-09 23:56:55,45.1805,-89.6835,22.15,56,0,11.5
255,Sidney,AU,2022-03-09 23:56:19,-33.8679,151.2073,71.35,59,37,4.0
256,Gat,IL,2022-03-09 23:52:05,31.61,34.7642,56.39,100,30,5.3
257,Naliya,IN,2022-03-09 23:56:56,23.2667,68.8333,72.9,54,0,10.4
258,San Antonio,US,2022-03-09 23:54:14,29.4241,-98.4936,65.35,30,0,5.75
259,Launceston,AU,2022-03-09 23:54:42,-41.45,147.1667,63.16,62,100,8.05
260,Half Moon Bay,US,2022-03-09 23:56:56,37.4636,-122.4286,70.05,53,0,18.41
261,Saint George,US,2022-03-09 23:55:37,37.1041,-113.5841,63.63,22,0,12.66
262,Saint-Prosper,CA,2022-03-09 23:56:57,46.2117,-70.4811,30.49,94,100,2.62
263,Coolum Beach,AU,2022-03-09 23:56:58,-26.5333,153.1,76.33,92,75,3.0
264,Hobyo,SO,2022-03-09 23:56:58,5.3505,48.5268,77.47,69,100,13.78
265,Koygorodok,RU,2022-03-09 23:56:58,60.445,50.9968,-12.32,100,46,2.3
266,Bac Lieu,VN,2022-03-09 23:56:59,9.285,105.7244,78.53,72,97,12.01
267,Sao Paulo De Olivenca,BR,2022-03-09 23:56:59,-3.3783,-68.8725,74.82,85,38,2.84
268,Ambon,ID,2022-03-09 23:57:00,-3.6954,128.1814,82.54,83,20,3.44
269,Kaitangata,NZ,2022-03-09 23:57:00,-46.2817,169.8464,66.38,71,99,9.55
270,Namibe,AO,2022-03-09 23:57:01,-15.1961,12.1522,72.59,77,56,7.65
271,Shiloh,US,2022-03-09 23:57:01,38.5614,-89.8973,49.5,53,21,7.85
272,Urengoy,RU,2022-03-09 23:57:01,65.9667,78.3667,-7.26,97,97,11.77
273,Bayangol,RU,2022-03-09 23:57:02,50.6977,103.4656,2.75,96,28,3.4
274,Champasak,LA,2022-03-09 23:57:02,14.75,106.0,73.26,67,75,1.97
275,Puerto Leguizamo,CO,2022-03-09 23:58:03,-0.1934,-74.7819,77.27,79,91,3.04
276,Mandalgovi,MN,2022-03-09 23:58:03,45.7625,106.2708,28.42,55,58,4.63
277,Lerik,AZ,2022-03-09 23:58:04,38.7726,48.4128,40.75,85,45,3.44
278,Peniche,PT,2022-03-09 23:58:04,39.3558,-9.3811,55.11,93,82,12.35
279,Sao Felix Do Xingu,BR,2022-03-09 23:58:05,-6.6447,-51.995,71.74,99,100,1.57
280,Kysyl-Syr,RU,2022-03-09 23:58:05,63.8986,122.7617,-19.3,100,75,1.9
281,Verkhnyaya Inta,RU,2022-03-09 23:58:05,65.9811,60.3094,-11.63,99,98,5.82
282,Los Algarrobos,PA,2022-03-09 23:58:06,8.5,-82.4333,84.61,62,20,9.22
283,Lavrentiya,RU,2022-03-09 23:58:06,65.5833,-171.0,15.06,79,3,15.19
284,Laguna,US,2022-03-09 23:53:46,38.421,-121.4238,72.18,28,0,6.91
285,Ostersund,SE,2022-03-09 23:58:07,63.1792,14.6357,32.45,51,96,12.66
286,Port Hardy,CA,2022-03-09 23:58:07,50.6996,-127.4199,47.75,34,20,13.8
287,Beloha,MG,2022-03-09 23:58:08,-25.1667,45.05,73.89,91,3,8.52
288,Saint-Joseph,RE,2022-03-09 23:58:08,-21.3667,55.6167,75.83,85,16,7.02
289,Ponta Delgada,PT,2022-03-09 23:58:09,37.7333,-25.6667,61.52,88,40,17.27
290,Airai,TL,2022-03-09 23:58:09,-8.9266,125.4092,67.89,76,71,0.94
291,Carahue,CL,2022-03-09 23:58:10,-38.7,-73.1667,61.0,82,14,5.39
